región,país,turistas
Europa,Albania,6150
Europa,Alemania,413916
Europa,Andorra,24478
África,Angola,687
Oriente Medio,Arabia Saudí,14150
África,Argelia,15544
Sudamérica,Argentina,44313
Asia,Armenia,3243
Oceanía,Australia,31885
Europa,Austria,107817
Asia,Azerbaiyán,1943
Caribe,Bahamas,159
Oriente Medio,Bahréin,1164
Asia,Bangladesh,1136
Europa,Belarús,3050
África,Benin,64
Sudamérica,Bolivia,1031
Europa,Bosnia y Herzegovina,1412
Sudamérica,Brasil,48899
Europa,Bulgaria,20794
África,Burkina Faso,216
Europa,Bélgica,114720
África,Camerún,385
Norteamérica,Canadá,72424
Sudamérica,Chile,14309
Asia,China,76341
Oriente Medio,Chipre,5095
Sudamérica,Colombia,32060
África,Congo,32
Asia,Corea,35542
Centroamérica,Costa Rica,2143
África,Costa de Marfil,964
Europa,Croacia,10373
Caribe,Cuba,766
Europa,Dinamarca,64240
Sudamérica,Ecuador,4287
África,Egipto,8897
Centroamérica,El Salvador,1246
Oriente Medio,Emiratos Árabes Unidos,20254
Europa,Eslovenia,7635
Norteamérica,Estados Unidos de América,556601
Europa,Estonia,8328
Oceanía,Fiji,68
Asia,Filipinas,22540
Europa,Finlandia,23757
Europa,Francia,696548
África,Gabón,91
Asia,Georgia,5526
África,Ghana,1112
Europa,Gibraltar,757
Europa,Grecia,32849
Centroamérica,Guatemala,2718
África,Guinea,31
África,Guinea Ecuatorial,496
Centroamérica,Honduras,2632
Europa,Hungría,31289
Asia,India,28827
Asia,Indonesia,7842
Oriente Medio,Iraq,1139
Europa,Irlanda,87913
Oriente Medio,Irán,3325
Europa,Islandia,3914
Oriente Medio,Israel,35541
Europa,Italia,459593
Caribe,Jamaica,631
Asia,Japón,36282
Oriente Medio,Jordania,2080
Asia,Kazajstán,4833
África,Kenia,1882
Oriente Medio,Kuwait,5148
Europa,Letonia,12576
África,Libia,471
Europa,Liechtenstein,4389
Europa,Lituania,11679
Europa,Luxemburgo,17212
Oriente Medio,Líbano,3394
Europa,Macedonia del Norte,1992
África,Madagascar,570
Asia,Malasia,3800
África,Mali,476
Europa,Malta,8614
África,Marruecos,28924
África,Mauricio,873
África,Mauritania,508
Europa,Moldavia,2158
Europa,Montenegro,1970
África,Mozambique,754
Asia,Myanmar,757
Norteamérica,México,49874
Asia,Nepal,682
Centroamérica,Nicaragua,693
África,Nigeria,2100
Europa,Noruega,40084
Oceanía,Nueva Zelanda,6322
Oriente Medio,Omán,1468
Asia,Pakistán,5411
Centroamérica,Panamá,2302
Sudamérica,Paraguay,2854
Europa,Países Bajos,282809
Sudamérica,Perú,12200
Europa,Polonia,146631
Europa,Portugal,84408
Oriente Medio,Qatar,8659
Europa,Reino Unido,626601
Europa,República Checa,32817
África,República Democrática del Congo,84
Caribe,República Dominicana,1899
Europa,República Eslovaca,10662
Europa,Rumanía,41741
Europa,Rusia,36539
África,Senegal,1457
Europa,Serbia,8782
Asia,Singapur,7438
Oriente Medio,Siria,69
Asia,Sri Lanka,917
África,Sudáfrica,3851
África,Sudán,197
Europa,Suecia,91390
Europa,Suiza,153741
Asia,Tailandia,4679
África,Tanzania,329
Caribe,Trinidad y Tobago,226
Oriente Medio,Turquía,22402
África,Túnez,5779
Europa,Ucrania,26054
África,Uganda,328
Sudamérica,Uruguay,5850
Asia,Uzbekistán,968
Sudamérica,Venezuela,4876
Asia,Vietnam,2214
