País de residencia	Municipio de destino	Concepto turístico	Periodo	Total
Afganistán	Barcelona	Turistas	2024M09	""
Afganistán	Barcelona	Turistas	2024M08	""
Afganistán	Barcelona	Turistas	2024M07	""
Afganistán	Barcelona	Turistas	2024M06	""
Afganistán	Barcelona	Turistas	2024M05	""
Afganistán	Barcelona	Turistas	2024M04	""
Afganistán	Barcelona	Turistas	2024M03	""
Afganistán	Barcelona	Turistas	2024M02	""
Afganistán	Barcelona	Turistas	2024M01	""
Afganistán	Barcelona	Turistas	2023M12	""
Afganistán	Barcelona	Turistas	2023M11	""
Afganistán	Barcelona	Turistas	2023M10	""
Afganistán	Barcelona	Turistas	2023M09	""
Afganistán	Barcelona	Turistas	2023M08	""
Afganistán	Barcelona	Turistas	2023M07	""
Afganistán	Barcelona	Turistas	2023M06	""
Afganistán	Barcelona	Turistas	2023M05	""
Afganistán	Barcelona	Turistas	2023M04	""
Afganistán	Barcelona	Turistas	2023M03	""
Afganistán	Barcelona	Turistas	2023M02	""
Afganistán	Barcelona	Turistas	2023M01	""
Afganistán	Barcelona	Turistas	2022M12	""
Afganistán	Barcelona	Turistas	2022M11	""
Afganistán	Barcelona	Turistas	2022M10	""
Afganistán	Barcelona	Turistas	2022M09	""
Afganistán	Barcelona	Turistas	2022M08	""
Afganistán	Barcelona	Turistas	2022M07	""
Afganistán	Barcelona	Turistas	2022M06	""
Afganistán	Barcelona	Turistas	2022M05	""
Afganistán	Barcelona	Turistas	2022M04	""
Afganistán	Barcelona	Turistas	2022M03	""
Afganistán	Barcelona	Turistas	2022M02	""
Afganistán	Barcelona	Turistas	2022M01	""
Afganistán	Barcelona	Turistas	2021M12	""
Afganistán	Barcelona	Turistas	2021M11	""
Afganistán	Barcelona	Turistas	2021M10	""
Afganistán	Barcelona	Turistas	2021M09	""
Afganistán	Barcelona	Turistas	2021M08	""
Afganistán	Barcelona	Turistas	2021M07	""
Afganistán	Barcelona	Turistas	2021M06	""
Afganistán	Barcelona	Turistas	2021M05	""
Afganistán	Barcelona	Turistas	2021M04	""
Afganistán	Barcelona	Turistas	2021M03	""
Afganistán	Barcelona	Turistas	2021M02	""
Afganistán	Barcelona	Turistas	2021M01	""
Afganistán	Barcelona	Turistas	2020M12	""
Afganistán	Barcelona	Turistas	2020M11	""
Afganistán	Barcelona	Turistas	2020M10	""
Afganistán	Barcelona	Turistas	2020M09	""
Afganistán	Barcelona	Turistas	2020M08	""
Afganistán	Barcelona	Turistas	2020M07	""
Afganistán	Barcelona	Turistas	2020M06	""
Afganistán	Barcelona	Turistas	2020M05	""
Afganistán	Barcelona	Turistas	2020M04	""
Afganistán	Barcelona	Turistas	2020M03	""
Afganistán	Barcelona	Turistas	2020M02	""
Afganistán	Barcelona	Turistas	2020M01	""
Afganistán	Barcelona	Turistas	2019M12	""
Afganistán	Barcelona	Turistas	2019M11	""
Afganistán	Barcelona	Turistas	2019M10	""
